"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"TIM1_SR2","0000","Data Label","Global","User Defined","6","0"
"buf_tx","003d","Data Label","Global","User Defined","3","28"
"buf_rx","005c","Data Label","Global","User Defined","3","19"
"state_2","01b0","Data Label","Global","User Defined","3","0"
"state_3","01b1","Data Label","Global","User Defined","3","0"
"state_1","01b2","Data Label","Global","User Defined","6","0"
"PA_ODR","5000","Data Label","Global","User Defined","14","0"
"PA_DDR","5002","Data Label","Global","User Defined","4","0"
"PA_CR1","5003","Data Label","Global","User Defined","1","0"
"PB_IDR","5006","Data Label","Global","User Defined","2","0"
"PB_DDR","5007","Data Label","Global","User Defined","1","0"
"PB_CR1","5008","Data Label","Global","User Defined","1","0"
"PC_ODR","500a","Data Label","Global","User Defined","7","0"
"PC_DDR","500c","Data Label","Global","User Defined","1","0"
"PC_CR1","500d","Data Label","Global","User Defined","1","0"
"PD_ODR","500f","Data Label","Global","User Defined","4","0"
"PD_DDR","5011","Data Label","Global","User Defined","1","0"
"PD_CR1","5012","Data Label","Global","User Defined","1","0"
"FLASH_IAPSR","505f","Data Label","Global","User Defined","2","0"
"FLASH_DUKR","5064","Data Label","Global","User Defined","2","0"
"RST_SR","50b3","Data Label","Global","User Defined","2","0"
"CLK_ICKR","50c0","Data Label","Global","User Defined","1","0"
"CLK_SWR","50c4","Data Label","Global","User Defined","1","0"
"CLK_CKDIVR","50c6","Data Label","Global","User Defined","1","0"
"IWDG_KR","50e0","Data Label","Global","User Defined","4","0"
"IWDG_PR","50e1","Data Label","Global","User Defined","1","0"
"IWDG_RLR","50e2","Data Label","Global","User Defined","1","0"
"UART1_SR","5230","Data Label","Global","User Defined","3","0"
"UART1_DR","5231","Data Label","Global","User Defined","3","0"
"UART1_BRR1","5232","Data Label","Global","User Defined","1","0"
"UART1_BRR2","5233","Data Label","Global","User Defined","1","0"
"UART1_CR2","5235","Data Label","Global","User Defined","5","0"
"TIM1_CR1","5250","Data Label","Global","User Defined","2","0"
"TIM1_IER","5254","Data Label","Global","User Defined","1","0"
"TIM1_EGR","5257","Data Label","Global","User Defined","1","0"
"TIM1_CCMR3","525a","Data Label","Global","User Defined","1","0"
"TIM1_CCER2","525d","Data Label","Global","User Defined","1","0"
"TIM1_PSCRH","5260","Data Label","Global","User Defined","1","0"
"TIM1_PSCRL","5261","Data Label","Global","User Defined","1","0"
"TIM2_CR1","5300","Data Label","Global","User Defined","1","0"
"TIM2_CCMR1","5307","Data Label","Global","User Defined","2","0"
"TIM2_CCER1","530a","Data Label","Global","User Defined","1","0"
"TIM2_PSCR","530e","Data Label","Global","User Defined","1","0"
"TIM2_ARRH","530f","Data Label","Global","User Defined","1","0"
"TIM2_ARRL","5310","Data Label","Global","User Defined","1","0"
"TIM2_CCR1H","5311","Data Label","Global","User Defined","2","0"
"TIM2_CCR1L","5312","Data Label","Global","User Defined","1","0"
"TIM4_CR1","5340","Data Label","Global","User Defined","1","0"
"TIM4_IER","5343","Data Label","Global","User Defined","1","0"
"TIM4_SR","5344","Data Label","Global","User Defined","2","0"
"TIM4_PSCR","5347","Data Label","Global","User Defined","1","0"
"TIM4_ARR","5348","Data Label","Global","User Defined","1","0"
"ADC_CSR","5400","Data Label","Global","User Defined","5","0"
"ADC_CR1","5401","Data Label","Global","User Defined","3","0"
"ADC_CR2","5402","Data Label","Global","User Defined","1","0"
"ADC_CR3","5403","Data Label","Global","User Defined","1","0"
"ADC_DRH","5404","Data Label","Global","User Defined","1","0"
"ADC_DRL","5405","Data Label","Global","User Defined","1","0"
"ADC_TDRH","5406","Data Label","Global","User Defined","1","0"
"adc_settle?","80af","Function","Global","User Defined","3","0"
"ADC_store_reading","80d6","Function","Global","User Defined","4","0"
"3_inputs_check_ADC","8174","Function","Global","User Defined","2","0"
"big","822d","Function","Global","User Defined","1","0"
"ISR_UART1_tx","85bd","Function","Global","User Defined","1","0"
"ISR_UART1_rx","85df","Function","Global","User Defined","1","0"
"Debug?","8694","Function","Global","User Defined","1","0"
"load_eeprom_parameters","86b9","Function","Global","User Defined","1","0"
"eeprom_settings?","86c2","Function","Global","User Defined","4","0"
"FUN_8717","8717","Function","Global","Default","1","0"
"current_command?","87ff","Function","Global","User Defined","1","0"
"FUN_88f0","88f0","Function","Global","Default","2","0"
"watchdog_refresh","8908","Function","Global","User Defined","2","0"
"just_ret","890d","Function","Global","User Defined","1","0"
"init_peripherals","890e","Function","Global","User Defined","1","0"
"clock_init","8a4e","Function","Global","User Defined","1","0"
"all_ports_init","8a5b","Function","Global","User Defined","1","0"
"ADC_init","8a80","Function","Global","User Defined","1","0"
"TIM1_init","8a9b","Function","Global","User Defined","1","0"
"TIM2_init","8ab8","Function","Global","User Defined","1","0"
"TIM4_init","8add","Function","Global","User Defined","1","0"
